GEO_ID,brackets,count,data_type
60750101011,Under 5 years,0,Age
60750101011,5 to 9 years,0,Age
60750101011,10 to 14 years,0,Age
60750101011,15 to 19 years,106,Age
60750101011,20 to 24 years,0,Age
60750101011,25 to 29 years,37,Age
60750101011,30 to 34 years,159,Age
60750101011,35 to 39 years,62,Age
60750101011,40 to 44 years,222,Age
60750101011,45 to 49 years,47,Age
60750101011,50 to 54 years,51,Age
60750101011,55 to 59 years,73,Age
60750101011,60 to 64 years,108,Age
60750101011,65 to 69 years,29,Age
60750101011,70 to 74 years,52,Age
60750101011,75 to 79 years,0,Age
60750101011,80 to 84 years,0,Age
60750101011,85 years and over,11,Age
60750231022,Under 5 years,149,Age
60750231022,5 to 9 years,149,Age
60750231022,10 to 14 years,55,Age
60750231022,15 to 19 years,26,Age
60750231022,20 to 24 years,26,Age
60750231022,25 to 29 years,13,Age
60750231022,30 to 34 years,89,Age
60750231022,35 to 39 years,128,Age
60750231022,40 to 44 years,155,Age
60750231022,45 to 49 years,36,Age
60750231022,50 to 54 years,24,Age
60750231022,55 to 59 years,83,Age
60750231022,60 to 64 years,237,Age
60750231022,65 to 69 years,16,Age
60750231022,70 to 74 years,0,Age
60750231022,75 to 79 years,15,Age
60750231022,80 to 84 years,0,Age
60750231022,85 years and over,76,Age
60750308005,Under 5 years,26,Age
60750308005,5 to 9 years,56,Age
60750308005,10 to 14 years,94,Age
60750308005,15 to 19 years,31,Age
60750308005,20 to 24 years,16,Age
60750308005,25 to 29 years,17,Age
60750308005,30 to 34 years,77,Age
60750308005,35 to 39 years,70,Age
60750308005,40 to 44 years,125,Age
60750308005,45 to 49 years,85,Age
60750308005,50 to 54 years,102,Age
60750308005,55 to 59 years,108,Age
60750308005,60 to 64 years,143,Age
60750308005,65 to 69 years,46,Age
60750308005,70 to 74 years,22,Age
60750308005,75 to 79 years,148,Age
60750308005,80 to 84 years,137,Age
60750308005,85 years and over,21,Age
60750331001,Under 5 years,65,Age
60750331001,5 to 9 years,0,Age
60750331001,10 to 14 years,18,Age
60750331001,15 to 19 years,0,Age
60750331001,20 to 24 years,31,Age
60750331001,25 to 29 years,27,Age
60750331001,30 to 34 years,13,Age
60750331001,35 to 39 years,17,Age
60750331001,40 to 44 years,60,Age
60750331001,45 to 49 years,9,Age
60750331001,50 to 54 years,11,Age
60750331001,55 to 59 years,41,Age
60750331001,60 to 64 years,16,Age
60750331001,65 to 69 years,65,Age
60750331001,70 to 74 years,11,Age
60750331001,75 to 79 years,38,Age
60750331001,80 to 84 years,24,Age
60750331001,85 years and over,46,Age
60750314022,Under 5 years,174,Age
60750314022,5 to 9 years,47,Age
60750314022,10 to 14 years,25,Age
60750314022,15 to 19 years,78,Age
60750314022,20 to 24 years,0,Age
60750314022,25 to 29 years,31,Age
60750314022,30 to 34 years,31,Age
60750314022,35 to 39 years,67,Age
60750314022,40 to 44 years,175,Age
60750314022,45 to 49 years,95,Age
60750314022,50 to 54 years,80,Age
60750314022,55 to 59 years,66,Age
60750314022,60 to 64 years,79,Age
60750314022,65 to 69 years,47,Age
60750314022,70 to 74 years,55,Age
60750314022,75 to 79 years,56,Age
60750314022,80 to 84 years,54,Age
60750314022,85 years and over,21,Age
60750104011,Under 5 years,185,Age
60750104011,5 to 9 years,0,Age
60750104011,10 to 14 years,65,Age
60750104011,15 to 19 years,89,Age
60750104011,20 to 24 years,0,Age
60750104011,25 to 29 years,0,Age
60750104011,30 to 34 years,0,Age
60750104011,35 to 39 years,13,Age
60750104011,40 to 44 years,157,Age
60750104011,45 to 49 years,32,Age
60750104011,50 to 54 years,11,Age
60750104011,55 to 59 years,91,Age
60750104011,60 to 64 years,101,Age
60750104011,65 to 69 years,17,Age
60750104011,70 to 74 years,7,Age
60750104011,75 to 79 years,19,Age
60750104011,80 to 84 years,0,Age
60750104011,85 years and over,9,Age
60750154022,Under 5 years,83,Age
60750154022,5 to 9 years,50,Age
60750154022,10 to 14 years,160,Age
60750154022,15 to 19 years,27,Age
60750154022,20 to 24 years,0,Age
60750154022,25 to 29 years,41,Age
60750154022,30 to 34 years,25,Age
60750154022,35 to 39 years,212,Age
60750154022,40 to 44 years,296,Age
60750154022,45 to 49 years,88,Age
60750154022,50 to 54 years,55,Age
60750154022,55 to 59 years,67,Age
60750154022,60 to 64 years,120,Age
60750154022,65 to 69 years,25,Age
60750154022,70 to 74 years,0,Age
60750154022,75 to 79 years,49,Age
60750154022,80 to 84 years,47,Age
60750154022,85 years and over,0,Age
60750260022,Under 5 years,128,Age
60750260022,5 to 9 years,132,Age
60750260022,10 to 14 years,123,Age
60750260022,15 to 19 years,33,Age
60750260022,20 to 24 years,50,Age
60750260022,25 to 29 years,5,Age
